psc;ZUJ;ZUJ_pravdepodobnost
81109;528595;1.0
81108;528595;1.0
81107;528595;1.0
81106;528595;1.0
81105;528595;1.0
81104;528595;1.0
81103;528595;1.0
81102;528595;1.0
81101;528595;1.0
81421;528595;1.0
82109;529320;1.0
82705;529320;1.0
82108;529320;1.0
82601;529320;1.0
82107;529338;0.4688398415393322
82107;529311;0.5311601584606678
82106;529338;0.4688398415393322
82106;529311;0.5311601584606678
82105;529320;1.0
82104;529320;1.0
82103;529320;1.0
82102;529320;1.0
82101;529320;1.0
83154;529354;1.0
83153;529354;1.0
83151;529354;1.0
83152;529346;1.0
83107;529362;1.0
83106;529354;1.0
83104;529346;1.0
83291;529346;1.0
83103;529346;1.0
83102;529346;1.0
83101;529346;1.0
83007;529346;1.0
83005;529354;1.0
83000;529346;1.0
84110;529401;1.0
84108;529371;1.0
84107;529371;1.0
84106;529427;1.0
84008;529427;1.0
84262;529397;1.0
84105;529397;1.0
84104;529397;1.0
84103;529419;1.0
84102;529389;1.0
84402;529389;1.0
84101;529389;1.0
84002;529427;1.0
85110;529494;0.5026921755069309
85110;529443;0.3100011456065987
85110;529435;0.18730667888647037
85107;529460;1.0
85106;529460;1.0
85105;529460;1.0
85104;529460;1.0
85103;529460;1.0
85102;529460;1.0
85101;529460;1.0
85009;529435;1.0
85000;529460;1.0
90875;504874;1.0
90874;504556;1.0
90873;504947;1.0
90872;504980;1.0
90638;504769;0.9879781420765027
90637;504858;1.0
90636;504629;1.0
90635;504637;0.5489614243323442
90501;500267;0.007186155651153696
90101;508063;1.0
90068;508195;1.0
90067;508039;1.0
90066;508349;1.0
90065;508365;1.0
90064;508241;1.0
90063;507962;1.0
90062;508012;1.0
90061;507890;1.0
90055;508055;1.0
90054;507954;0.6034858387799564
90053;508161;1.0
90052;508021;1.0
90051;508381;1.0
90033;508080;1.0
90032;507831;1.0
90031;508233;1.0
90203;508179;1.0
90201;508314;0.055852576498691846
90201;508179;0.9441474235013082
90091;508047;1.0
90090;507881;0.8509687034277198
90089;508187;0.11255270840090821
90089;507857;0.7664612390528706
90088;507873;0.5777777777777777
90086;508268;0.09953822473063109
90086;507946;0.25756798358132377
90086;507849;0.6428937916880452
90085;508322;1.0
90084;507806;0.5505420451215939
90081;508250;1.0
90026;508225;1.0
90023;508306;1.0
90021;507989;1.0
90001;508101;1.0
92526;503983;0.7723880597014925
92526;503681;0.22761194029850745
90301;503983;0.059872012726418164
90301;582549;0.0033262229292454534
90301;503819;0.019125781843161358
90301;503894;0.08073321522831628
90301;508284;0.04389168082721718
90301;503801;0.0375284717451824
90301;503851;0.02823674030152934
90301;508217;0.7272858743989298
90084;555487;0.17286844418400235
90084;555495;0.27658951069440374
90083;507865;1.0
90082;507822;1.0
90050;503894;0.6279527559055118
90050;503797;0.3720472440944882
90046;508110;1.0
90045;508071;1.0
90044;508276;0.8674121405750799
90044;508331;0.13258785942492013
90043;507903;0.6364312267657992
90043;507997;0.3635687732342007
90042;545333;0.6558251591808639
90042;508098;0.34417484081913613
90041;508209;1.0
90029;508136;1.0
90028;555509;0.24000861790369493
90028;507938;0.7509425832166325
90027;507814;1.0
90025;507911;1.0
90024;508292;1.0
93201;501522;1.0
93101;501905;1.0
93052;582522;0.2831765935214211
93052;555517;0.3406478578892372
93052;501484;0.3761755485893417
93051;501972;1.0
93041;501727;0.3742489270386266
93041;501778;0.09527896995708154
93041;501638;0.5304721030042918
93040;501913;0.7247357293868921
93040;501514;0.2752642706131078
93039;501832;0.08216963104512714
93039;502022;0.5307952373952668
93039;580554;0.16051741878582979
93039;501620;0.09201822725268265
93039;501662;0.13449948552109364
93038;501808;1.0
93037;501735;1.0
93036;501590;0.4162236660759992
93036;501735;0.5837763339240007
93035;501786;1.0
93034;501581;1.0
93033;501603;1.0
93032;501956;0.24611032531824611
93032;555606;0.21027817067421029
93032;501492;0.4625176803394625
93031;503461;0.2190247801758593
93031;501999;0.3677058353317346
93031;501549;0.4132693844924061
93030;501891;0.5956989247311828
